2024-03-12 16:21:58.188 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.277 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.313 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.356 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.390 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.423 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.456 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.491 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.520 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.554 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.583 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.615 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.648 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.685 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.716 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.744 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.772 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.801 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.835 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.864 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.894 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.922 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.952 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:58.985 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:59.014 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:59.042 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:59.075 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:59.121 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:59.158 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:59.186 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:59.216 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
