2024-03-12 16:18:28.953 interchange:244 HTEX-Interchange(418488) Interchange-Task-Puller task_puller [DEBUG]  Fetched 3 tasks so far
2024-03-12 16:18:28.953 interchange:233 HTEX-Interchange(418488) Interchange-Task-Puller task_puller [DEBUG]  launching recv_pyobj
2024-03-12 16:18:29.050 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 1/1
2024-03-12 16:18:29.054 interchange:489 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Sent tasks: [3] to manager b'90577a41c5cc'
2024-03-12 16:18:29.054 interchange:493 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Manager b'90577a41c5cc' has free capacity 48
2024-03-12 16:18:29.054 interchange:501 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  leaving _ready_managers section, with 1 managers still interesting
2024-03-12 16:18:29.155 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 1/1
2024-03-12 16:18:29.155 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:29.160 interchange:508 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  entering results_incoming section
2024-03-12 16:18:29.160 interchange:518 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Got 1 result items in batch from manager b'90577a41c5cc'
2024-03-12 16:18:29.160 interchange:548 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Removing task 3 from manager record b'90577a41c5cc'
2024-03-12 16:18:29.160 interchange:562 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Sending messages on results_outgoing
2024-03-12 16:18:29.161 interchange:564 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Sent messages on results_outgoing
2024-03-12 16:18:29.161 interchange:566 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Current tasks on manager b'90577a41c5cc': []
2024-03-12 16:18:29.161 interchange:576 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  leaving results_incoming section
2024-03-12 16:18:29.161 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 1/1
2024-03-12 16:18:29.161 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:29.164 interchange:241 HTEX-Interchange(418488) Interchange-Task-Puller task_puller [DEBUG]  putting message onto pending_task_queue
