2024-03-12 16:20:15.343 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.369 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.398 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.439 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.476 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.504 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.530 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.574 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.601 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.639 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.665 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.691 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.729 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.756 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.783 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:15.784 parsl.monitoring.resource_monitor:249 419274 MainThread [DEBUG]  sleeping
2024-03-12 16:20:15.784 parsl.monitoring.resource_monitor:213 419274 MainThread [DEBUG]  start of monitoring loop
2024-03-12 16:20:16.218 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.253 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.285 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.318 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.359 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.391 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.419 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.461 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.493 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.526 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.553 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.585 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.617 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.649 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.681 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.723 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.750 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.788 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.815 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.842 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.880 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.906 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.933 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.970 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:16.997 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:17.023 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:17.060 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:17.086 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:17.112 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:17.140 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:17.166 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:17.192 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:17.219 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:17.245 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
